ID,Assignment,Partcipation,Applicability of Linq in Your Own Profession Points Grade <Numeric MaxPoints:75 Category:Project>,Final Score,Grade
1,315,110,75,500,A
2,315,99.5,75,489.5,A
3,315,110,75,500,A
4,315,86,75,476,A
5,315,110,75,500,A
6,315,110,60,485,A
7,315,102,60,477,A
8,295,83.5,60,438.5,B
9,295,34,60,389,C
10,295,102,60,457,A
11,295,102,60,457,A
12,295,102,60,457,A
13,295,94,60,449,B
14,295,102,60,457,A
15,315,97,60,472,A
16,295,101,75,471,A
17,295,87,75,457,A
18,295,109,75,479,A
19,295,102,75,472,A
20,270,110,75,455,A
21,270,76,75,421,B
22,270,102,50,422,B
23,270,99.5,50,419.5,B
24,270,102,50,422,B
25,270,99.5,50,419.5,B
26,315,102,50,467,A
27,270,102,50,422,B
28,270,102,50,422,B
29,295,102,50,447,B
