STEM,GPA,SAT,White,Female,Asian
0,3.70,1420,0,0,1
0,4.40,1240,0,1,1
1,2.90,1450,0,0,0
1,2.90,1520,0,1,0
1,4.00,1530,0,1,0
1,3.20,1500,1,1,0
1,4.20,1490,0,1,1
0,3.50,1140,0,1,0
0,2.90,1390,1,1,0
0,4.30,1100,1,0,0
0,4.00,1380,1,1,0
0,4.30,1200,0,0,1
1,3.80,1600,0,1,0
0,3.20,1070,0,0,1
0,4.10,1070,1,1,0
1,3.40,1450,1,1,0
0,3.20,1320,0,1,0
0,4.10,1350,0,0,0
0,4.10,1140,0,0,0
1,3.70,1370,0,1,1
0,3.60,1050,1,0,0
0,4.20,1290,0,0,0
1,4.30,1590,0,1,0
0,4.30,1370,1,0,0
1,3.80,1430,0,0,0
1,3.20,1480,0,0,0
0,4.00,1210,0,0,1
0,4.30,1310,0,1,0
0,2.80,1240,0,0,0
1,4.40,1390,0,0,0
1,3.30,1560,1,0,0
0,2.80,1350,0,1,0
1,3.00,1540,0,1,0
0,2.50,1110,0,0,0
1,2.70,1350,0,1,0
1,4.00,1340,0,0,0
1,2.50,1450,1,0,0
1,2.60,1460,0,0,0
1,4.50,1350,0,0,1
0,3.70,1140,1,0,0
0,3.70,1290,1,1,0
0,2.70,1030,1,0,0
1,2.90,1570,1,1,0
0,4.30,1180,0,0,0
0,4.20,1100,0,0,0
0,3.60,1140,0,0,0
1,3.70,1490,0,0,1
1,3.10,1360,1,0,0
0,3.70,1060,1,1,0
0,3.10,1100,0,0,1
0,4.10,1100,1,1,0
0,2.60,1370,1,1,0
0,4.10,1240,0,1,1
0,3.50,1060,1,0,0
0,3.80,1180,1,1,0
1,3.80,1460,1,1,0
1,3.30,1350,0,1,1
1,3.80,1400,0,0,0
1,2.70,1530,0,0,1
0,4.20,1110,1,0,0
0,3.10,1170,0,0,1
0,4.10,1070,1,1,0
0,3.20,1170,0,0,0
0,3.30,1340,0,0,0
0,4.40,1030,1,1,0
0,2.80,1320,0,0,0
1,2.90,1340,1,0,0
1,2.70,1520,0,1,0
1,3.90,1440,0,1,1
0,3.90,1180,1,1,0
0,3.70,1440,1,1,0
0,3.40,1190,1,1,0
1,3.20,1380,1,0,0
0,2.80,1430,0,1,0
1,3.80,1270,1,0,0
0,3.60,1210,1,0,0
1,4.40,1470,0,1,0
1,2.90,1560,1,1,0
1,4.50,1500,0,0,0
1,3.80,1380,0,0,1
0,2.60,1020,0,1,0
0,4.40,1460,1,1,0
1,3.30,1550,1,1,0
1,4.00,1400,0,1,1
0,2.60,1200,0,0,0
1,4.10,1190,1,0,0
1,2.80,1410,1,0,0
0,4.50,1190,1,1,0
0,2.80,1010,0,1,0
0,3.00,1030,0,0,1
0,3.30,1080,1,0,0
1,3.80,1520,0,0,0
0,4.50,1380,1,1,0
0,3.90,1030,0,1,1
0,3.60,1240,0,1,1
1,3.60,1200,0,0,1
1,4.00,1320,0,1,0
0,4.30,1300,0,1,0
0,3.90,1070,0,1,0
1,3.30,1430,0,1,1
1,4.40,1400,0,0,1
0,2.70,1420,1,1,0
1,3.30,1310,1,1,0
1,3.90,1450,1,1,0
1,2.70,1470,0,0,0
1,3.40,1560,0,0,0
1,4.20,1550,0,0,0
1,3.70,1350,0,0,0
0,2.60,1240,0,0,1
0,2.90,1170,0,1,1
1,2.60,1370,0,0,0
1,3.00,1470,0,1,0
0,3.80,1030,1,1,0
1,3.10,1600,0,1,0
0,4.00,1170,0,1,1
0,4.10,1070,0,0,0
1,4.30,1420,0,0,0
0,3.90,1080,1,1,0
0,3.80,1250,0,0,1
0,3.80,1030,0,0,0
1,3.70,1210,0,0,1
0,4.30,1340,0,1,0
0,3.60,1340,0,1,0
0,4.40,1190,0,0,0
0,2.80,1120,1,1,0
0,2.70,1250,1,0,0
0,4.30,1040,0,0,1
0,3.30,1370,1,1,0
1,4.40,1550,1,1,0
1,3.20,1470,0,0,1
1,2.70,1560,1,1,0
0,3.00,1230,0,1,0
1,3.60,1510,0,1,0
0,4.50,1070,0,1,1
1,3.70,1460,0,1,0
0,3.50,1190,0,1,1
1,3.00,1240,1,0,0
1,3.90,1390,0,1,0
1,3.50,1570,0,0,0
1,3.10,1510,0,1,1
0,3.00,1260,0,0,1
1,4.20,1440,0,0,1
1,2.60,1430,1,0,0
0,3.60,1040,0,1,0
0,3.40,1040,1,1,0
0,3.50,1080,0,1,1
0,3.00,1240,0,1,1
0,3.60,1350,1,0,0
1,3.60,1450,0,0,1
0,2.90,1240,0,1,0
0,4.30,1230,0,0,0
0,3.90,1150,0,1,0
1,3.20,1370,1,1,0
1,3.70,1570,0,0,1
0,3.30,1250,0,0,0
0,3.20,1020,0,0,0
1,3.40,1390,0,1,0
1,3.70,1380,0,0,1
0,3.40,1060,0,0,0
0,4.30,1070,0,0,1
1,2.60,1550,1,1,0
1,3.10,1430,1,0,0
0,2.90,1030,1,1,0
0,3.10,1210,0,0,0
0,3.40,1010,1,1,0
1,2.50,1380,1,0,0
1,2.70,1540,1,1,0
0,3.50,1190,0,0,0
0,4.40,1340,0,1,0
1,3.70,1530,0,1,1
0,2.60,1000,0,0,0
1,4.30,1480,1,0,0
1,3.60,1200,1,0,0
0,4.00,1080,0,0,0
1,3.00,1450,1,0,0
0,3.20,1280,0,1,0
0,4.10,1100,0,0,0
0,3.50,1050,0,0,0
1,3.80,1430,1,0,0
1,3.90,1580,0,0,0
0,3.50,1110,0,1,1
1,2.70,1520,0,1,0
0,3.10,1020,0,1,1
1,4.40,1450,1,0,0
0,3.60,1310,0,1,0
0,3.20,1050,0,1,0
1,3.60,1490,1,0,0
0,2.60,1160,0,0,0
0,4.10,1400,0,1,0
0,3.30,1290,0,1,1
0,2.90,1250,1,1,0
1,4.10,1370,0,0,1
1,3.90,1330,0,0,1
0,2.80,1170,1,1,0
1,3.00,1520,1,0,0
0,3.80,1240,1,0,0
0,3.10,1220,1,1,0
0,3.90,1100,1,0,0
1,2.90,1550,1,1,0
0,4.50,1360,0,0,0
0,4.40,1090,0,1,1
1,2.50,1520,1,0,0
0,4.10,1200,0,1,1
1,2.90,1490,1,0,0
0,4.30,1260,1,1,0
1,4.50,1430,0,0,0
0,4.40,1250,0,0,0
1,2.80,1590,1,0,0
1,3.10,1410,0,0,1
1,4.00,1230,1,0,0
0,2.50,1010,1,1,0
0,2.60,1240,0,1,0
0,4.10,1120,0,1,0
0,2.70,1100,0,0,1
0,4.00,1240,0,0,1
0,3.60,1510,0,1,0
0,2.70,1290,0,1,0
1,3.40,1580,0,1,0
1,3.60,1410,0,0,1
0,2.70,1050,0,1,1
1,4.00,1480,0,1,1
0,4.40,1090,0,0,0
1,3.20,1590,0,0,1
1,2.80,1530,1,1,0
1,4.20,1570,1,1,0
0,2.60,1050,0,1,0
0,3.80,1030,1,0,0
1,3.60,1330,0,0,1
1,2.50,1330,1,0,0
0,3.30,1350,1,1,0
1,2.50,1220,0,0,1
0,3.70,1270,0,1,1
1,4.10,1390,0,0,0
1,2.60,1560,0,1,1
0,4.30,1020,0,0,0
0,4.40,1050,0,0,1
0,2.90,1050,1,0,0
0,2.50,1050,1,1,0
0,3.90,1300,0,1,1
0,3.80,1390,0,1,0
